n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,ablation,bands,types
4,0.3805620272097104,0.22779585914830208,0.09447087043135342,0.13355442010701826,0.3382744955845324,0.7335781913157036,0.32975689445121276,0.3248104510991109,0.32726498310021707,0.631691852479918,7,Intercept only,"delta,theta,alpha,beta",intercept
4,0.6877183194865377,0.5048639475917046,0.2050850446464355,0.2916830543157943,0.6518402456183461,0.5245248241100993,0.7378738685556867,0.2511847944402579,0.374786052496783,0.6278648441330963,8,Intercept only,"delta,theta,alpha,beta",intercept
4,0.7220276389344944,0.46974770717059955,0.5627737112112112,0.5120700758182213,0.7326608562026897,0.7085394158521713,0.18866230435821743,0.4385435435435435,0.2638260971677107,0.6247539028792151,9,Intercept only,"delta,theta,alpha,beta",intercept
4,0.7655712589528515,0.17659987545331332,0.3723786351523578,0.23957958032575072,0.6128955949219915,0.5771592644227578,0.04256491805056109,0.09128783474789753,0.05805871188780163,0.2562308817418716,10,Intercept only,"delta,theta,alpha,beta",intercept
4,0.5870380647017717,0.14781107039624916,0.7031398024089863,0.24427226095828258,0.7104485497123305,0.6564691833148208,0.3098906545971687,0.7800802139037433,0.4435706955313515,0.7956806321615089,1,Midband only,"delta,theta,alpha,beta",midband
4,0.6248502502959339,0.24772932287763877,0.49562659944234366,0.33034307844566146,0.6145008722019982,0.743482966805125,0.5588266392761657,0.45796197266785504,0.5033914563872995,0.781719174953479,2,Midband only,"delta,theta,alpha,beta",midband
4,0.6872336268272131,0.1627942003373765,0.45955215419501133,0.24042054688890208,0.6207749886089079,0.7417015103677789,0.5118690077394017,0.4771711624401012,0.49391144425558003,0.6729409954385815,3,Midband only,"delta,theta,alpha,beta",midband
4,0.6595178443603641,0.4448138366733986,0.35052968349574787,0.39208329339376763,0.6840727113301074,0.8125449803991296,0.22361025089689504,0.46381132441341866,0.3017448690756846,0.7318912617244443,4,Midband only,"delta,theta,alpha,beta",midband
4,0.6667365850772599,0.334313805594139,0.24650079322047513,0.28376910095475877,0.5873432954829826,0.6419842701352534,0.3272015450358731,0.3501281116160766,0.33827681382668756,0.5951869681844237,5,Midband only,"delta,theta,alpha,beta",midband
4,0.7722690186982442,0.4365588015570322,0.2672588099364529,0.33154665034265496,0.7398458771391648,0.4847298146904937,0.2774586350580525,0.08002263525733021,0.12421893394671545,0.41099342939715955,6,Midband only,"delta,theta,alpha,beta",midband
4,0.40296422305223756,0.26046586517818804,0.09865024189941862,0.14310146551469938,0.39402705102396296,0.7333061268908477,0.3274691185512269,0.31957399225440464,0.3234733878091873,0.6096464667357915,7,Midband only,"delta,theta,alpha,beta",midband
4,0.693769695873102,0.5259560152461392,0.2355921063178313,0.3254189248288041,0.6804457711157325,0.5274796794314517,0.7262055837563451,0.2683245415724692,0.3918609912080118,0.6528482080435594,8,Midband only,"delta,theta,alpha,beta",midband
4,0.7444209322971773,0.505968076326966,0.5897381756756757,0.5446508856508315,0.7465135780839528,0.6925534920481652,0.19866348557926114,0.5213663663663664,0.28770045943583433,0.6706714325430452,9,Midband only,"delta,theta,alpha,beta",midband
4,0.7628806158795818,0.18528324638896898,0.4094542926659715,0.2551210092223285,0.6082084461773561,0.5811563654871761,0.04297737117320073,0.09093903809634539,0.05836955778188218,0.26773921838982195,10,Midband only,"delta,theta,alpha,beta",midband
