trial,model,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc
7,KNN (k=5),0.4557,0.44424867858041783,0.353,0.3934024295107545,0.4451427,0.5558,0.5582220367278798,0.535,0.5463643790849673,0.5755192
8,Logistic Regression,0.6969537049602187,0.5387360594795539,0.23232177495631542,0.32464521332004165,0.6878634467066834,0.5257124669241476,0.7274806678587187,0.2623084652097463,0.38558584062082674,0.6476117076117929
8,Linear SVM,0.6962098480622025,0.5394924727673289,0.21198640568139918,0.30437334560939117,0.6861006219409606,0.524273043833521,0.7381593243777164,0.25029305869547014,0.37382914598001576,0.6429683932719059
8,Random Forest,0.665314656493921,0.45662340337865676,0.3553198993250934,0.3996519983050695,0.649248800066902,0.5551565075700353,0.6863116222620355,0.39773088838650256,0.5036100126164905,0.635015366571682
8,KNN (k=5),0.567,0.5845959595959596,0.463,0.5167410714285714,0.5900576200000001,0.5537,0.5618521078092605,0.4878,0.5222138957285087,0.57736214
9,Logistic Regression,0.7597484200242418,0.5349063160962922,0.5597081456456456,0.5470262503200559,0.7405653279539834,0.7241283737630578,0.21108994932154132,0.4809459459459459,0.2934034377418808,0.6629261605071524
9,Linear SVM,0.7616901990830263,0.5389520502870628,0.5571978228228228,0.5479230831343508,0.7458122667824669,0.7353417661763602,0.21753341383186908,0.4706756756756757,0.2975481960304126,0.6722366208999504
9,Random Forest,0.7028226738176024,0.43230182464352274,0.4680227102102102,0.44945364424918327,0.7067725967514821,0.6003215066107338,0.1462566784643477,0.4870720720720721,0.2249622913018603,0.5919621962810728
9,KNN (k=5),0.5908,0.6002207505518764,0.5438,0.5706190975865687,0.62739106,0.5436,0.5423630003886514,0.5582,0.5501675537157501,0.5633666199999999
10,Logistic Regression,0.7670841472289249,0.1888677026160097,0.4093191209979531,0.2584716311624334,0.6094098030664548,0.5916428776914736,0.04403859669116949,0.08985389295818316,0.059107711918419376,0.27237845793711335
10,Linear SVM,0.77981538932935,0.19482865201097246,0.3895068165141158,0.2597380857337849,0.6135922983636978,0.6088511584677687,0.04387577841665227,0.08369181878076193,0.05757016321987697,0.2696338052641115
10,Random Forest,0.5643398827990348,0.11124877759536969,0.485478700807168,0.1810170101701017,0.5805328208630888,0.5127713602867955,0.12939033753742316,0.4212494671162268,0.19797192384924664,0.44975590264526133
10,KNN (k=5),0.5399,0.5428203477141017,0.5058,0.5236566932394657,0.5722597800000001,0.4663,0.4632817607321857,0.4252,0.44342475753467514,0.45417686
