trial,paradigm,strategy,model,ma_window,threshold,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
6,spectral_slope,weighted_sampler,LogisticRegression,20,0.46,0.41788945366196734,0.3128576424211597,0.2296486868050451,0.57609409780445,0.26487192081766125,0.3467303367419361,0.25897463951329597,0.08162197636064211
6,spectral_slope,weighted_sampler,RandomForest,20,0.47,0.4119833125539465,0.35992864487759985,0.3696022495245429,0.44760195726571156,0.36470131103659675,0.3828655276196684,0.25767180285938635,0.07369978221061575
6,spectral_slope,weighted_sampler,XGBoost,20,0.47,0.4202577709578765,0.38080373957145586,0.4305774324150886,0.4115847380343012,0.40416391728020196,0.39778947900363876,0.25758381377413325,0.07203987319383634
7,spectral_slope,weighted_sampler,AdaptiveNN,1,0.37,0.2103520513657634,0.19416158841792694,0.9389216167566683,0.02876680669412836,0.32178133375705986,0.6190705002583123,0.23873019218444824,0.29138924723224724
7,spectral_slope,weighted_sampler,LogisticRegression,1,0.4,0.27434160409184893,0.19757044246846547,0.8614111165657558,0.12802316570822628,0.3214208481635166,0.6081245745276893,0.22300816620024258,0.2643027704702355
7,spectral_slope,weighted_sampler,RandomForest,20,0.2,0.20082707585156165,0.1997733439396746,1.0,0.0016449828024525197,0.3330184737788596,0.7149200301986366,0.2232012127375604,0.2792603852115922
7,spectral_slope,weighted_sampler,XGBoost,20,0.2,0.2008243552073131,0.19977279971232192,1.0,0.0016415840776540641,0.3330177176215745,0.7127559551920888,0.22326606235804886,0.2798018795223083
8,spectral_slope,weighted_sampler,AdaptiveNN,20,0.45,0.5884176322202744,0.6866175340750648,0.505103407853973,0.6976754400412865,0.5820370258698667,0.6473392227563951,0.24054066821097,0.11342140791760641
8,spectral_slope,weighted_sampler,LogisticRegression,9,0.44,0.6224673516990418,0.6037578092948135,0.9734488821904044,0.1621921358061293,0.7452762757661328,0.6663455282879867,0.23617459057579593,0.07466864726065818
8,spectral_slope,weighted_sampler,RandomForest,20,0.44,0.6611631298663664,0.6560653791125545,0.8466088922381311,0.4179705943714245,0.7392563969928331,0.6783988392612639,0.23017321118707632,0.13299297622225126
8,spectral_slope,weighted_sampler,XGBoost,18,0.44,0.661593056565052,0.6574403167426727,0.8425563091350582,0.424278859351495,0.7385756436980712,0.6825550771151015,0.2289677543396888,0.1290915257478842
9,spectral_slope,weighted_sampler,AdaptiveNN,20,0.48,0.718368792043516,0.2484029538434286,0.6737687687687688,0.7243982445670487,0.36298261650340147,0.7724961536066862,0.19794186259128438,0.3202605477136269
9,spectral_slope,weighted_sampler,LogisticRegression,20,0.51,0.8249666512887086,0.36425249054115033,0.6302552552552553,0.8512895774213324,0.4616797553839724,0.8220732011805245,0.24350352447535753,0.3829322127911202
9,spectral_slope,weighted_sampler,RandomForest,20,0.5,0.5268345367479552,0.16407787413650368,0.7261111111111112,0.4998944466773032,0.26767072941228565,0.7018894847567799,0.2363558027176719,0.3714769033898471
9,spectral_slope,weighted_sampler,XGBoost,20,0.51,0.6001713032998237,0.1802983591468704,0.6647297297297298,0.5914436852724697,0.2836584514148964,0.7054404369658854,0.23636041369907,0.372438221448222
10,spectral_slope,weighted_sampler,AdaptiveNN,20,0.6,0.834857487441634,0.029633933759442184,0.004941285896988722,0.9730563461178551,0.008470213083987975,0.20173387542254123,0.26239656298919967,0.38191097396460244
10,spectral_slope,weighted_sampler,LogisticRegression,19,0.56,0.7939515147491646,0.03014249928134368,0.01422315234662636,0.9237930211096268,0.019326724330871414,0.22475864091045586,0.2537936732201771,0.3494992008675455
10,spectral_slope,weighted_sampler,RandomForest,20,0.6,0.8370067936887295,0.03400407539480387,0.005173816998023485,0.975524836563345,0.008981129536815903,0.28209989557589843,0.26228033373638215,0.3646817636312561
10,spectral_slope,weighted_sampler,XGBoost,20,0.61,0.8364812233065569,0.029338014042126378,0.004534356470177886,0.9750182313346628,0.0078547212245309,0.3045520966714972,0.2622262765463433,0.36021070201004834
1,wavelet,downsample_2x,AdaptiveNN,20,0.46,0.6622815853445613,0.5919800365133036,0.814007724301842,0.5370983160526509,0.6854630399839889,0.7636971809657518,0.22913260271110494,0.16308463592180478
1,wavelet,downsample_2x,LogisticRegression,20,0.48,0.5428300898505177,0.49642301710730946,0.7823529411764706,0.3452092065593058,0.6074215033301618,0.5841913487836847,0.2466815327825325,0.04900238103185815
1,wavelet,downsample_2x,RandomForest,20,0.46,0.5981103187074419,0.5348427344529509,0.8519904931669637,0.3886437728264333,0.6571531688426263,0.6839923997053305,0.23861640278077467,0.09839726851793562
1,wavelet,downsample_2x,XGBoost,20,0.46,0.6279396161542904,0.5557896708339186,0.8816102198455139,0.4186459788709954,0.6817724936101778,0.7454079627525825,0.23206810598231417,0.149794748505311
2,wavelet,downsample_2x,AdaptiveNN,18,0.48,0.7178480536757476,0.7456093917257767,0.784623192711428,0.6240787094979836,0.7646189571458729,0.7700109538873029,0.2252716840837145,0.1436384826362745
2,wavelet,downsample_2x,LogisticRegression,20,0.48,0.7613800682514894,0.7638612767837419,0.8561101208160031,0.6283548880545126,0.8073591557516752,0.8242759806713702,0.22908683925048673,0.22522633536790881
2,wavelet,downsample_2x,RandomForest,18,0.47,0.6389467291341315,0.6454588324059228,0.8471727074668252,0.34654429147545546,0.7326859871315854,0.6604767845152961,0.23882047504116163,0.08165903086421074
2,wavelet,downsample_2x,XGBoost,19,0.47,0.6532404997397189,0.6581175994527569,0.8455634779164191,0.3831699346405229,0.7401572243562308,0.6975909632827466,0.2349167825012889,0.09427728376112487
3,wavelet,downsample_2x,AdaptiveNN,20,0.47,0.6246889087987257,0.5310422809075442,0.450941330605359,0.7386975210504623,0.4877248661842993,0.6408020154784115,0.22498879084354223,0.08062383425171092
3,wavelet,downsample_2x,LogisticRegression,20,0.48,0.5265511896127537,0.436262085797428,0.6672768714442111,0.4342106812695048,0.5275891672520097,0.5975832567993548,0.2442647955003456,0.11894310853151696
3,wavelet,downsample_2x,RandomForest,18,0.49,0.6253466444814199,0.5346008907159986,0.4200990685403543,0.7600247306129659,0.4704835986493005,0.6097853693131152,0.23436211778320173,0.09381423047606038
3,wavelet,downsample_2x,XGBoost,19,0.5,0.6439090120454514,0.5740096833873486,0.3925680647534952,0.8088323617735382,0.466259172612989,0.6131178084673724,0.23121230696387132,0.11276502358690167
4,wavelet,downsample_2x,AdaptiveNN,20,0.46,0.5399214659685864,0.40969223861006526,0.8624927283304247,0.37863583478766727,0.5555113223895277,0.7116668588634596,0.23002145625836862,0.18724523431993337
4,wavelet,downsample_2x,LogisticRegression,20,0.47,0.4847052549932131,0.38170625374247563,0.8807203800659298,0.2866976924568548,0.5325877446920783,0.67989336466238,0.23914658323956756,0.16373496582214486
4,wavelet,downsample_2x,RandomForest,18,0.31,0.33701764591816946,0.3345659789801479,1.0,0.005526468877254218,0.5013854455301152,0.6734025417810554,0.23166467054420178,0.1631687485663045
4,wavelet,downsample_2x,XGBoost,20,0.44,0.45507724129015575,0.374813568396497,0.9502617801047121,0.20748497188287765,0.5375860461289527,0.688359616798524,0.23012955266189694,0.1737288298301984
5,wavelet,downsample_2x,AdaptiveNN,20,0.45,0.5614372572356463,0.5360722600096038,0.8247115150835064,0.3051094358862304,0.6497798898528301,0.6399799092704661,0.23979432491017386,0.05181799166565498
5,wavelet,downsample_2x,LogisticRegression,20,0.42,0.5193242732061963,0.5066001194766153,0.983336138697189,0.06755526421209804,0.6686973387173699,0.7047829518894296,0.23511701659603057,0.12111868209299344
